Chinese name,Name,CodeName,OverrideNameTextID,NamePrefixID,OverridePartnerSkillTextID,IsPal,Tribe,BPClass,variant,Volume size,rarity,Element 1,Element 2,GenusCategory,Organization,weapon,WeaponEquip,nocturnal,total_4D,HP,melee attack,Remote attack,defense,support,Speed of work,Level1Min,Level1Max,Level20Min,Level20Max,Level50Min,Level50Max,AIRResponse,AISightResponse,endurance,slow walking speed,walking speed,running speed,Riding sprint speed,damage multiplier,catch rate,Experience multiplier,price,Must bring entry 1,Must bring entry 2,Numerical description,Skill description,lv1.1,lv2.1,lv3.1,lv4.1,lv5.1
"electric rat","Jolthog","Hedgehog","None","None","None",1,"Hedgehog","Hedgehog",0,"XS",1,"electricity","none","FourLegged","None","None",0,0,285,70,70,75,70,100,100,105,107,212,246,381,465,"Escape_to_Battle","0",100,30,60,400,0,"1,3","1,2",1,1060,"none","none","Skill power","After activation, you can equip Hedgehog in your hand. If you throw it at the enemy and hit the target, it will trigger a thunder explosion.","100","110","130","160","200"
"ice agouti","Jolthog Cryst","Hedgehog_Ice","None","None","None",1,"Hedgehog_Ice","Hedgehog_Ice",1,"XS",2,"ice","none","FourLegged","None","None",0,0,295,70,70,75,80,100,100,105,107,212,246,381,465,"Escape_to_Battle","0",100,30,60,400,0,1,1,1,1070,"none","none","Skill power","After activation, you can equip Hedgehog_Ice in your hand. If you throw it at the enemy and hit the target, it will trigger an ice explosion.","100","110","130","160","200"
"Ye NiNi","Gumoss","PlantSlime","None","None","None",1,"PlantSlime","PlantSlime",0,"XS",1,"Wood","land","Other","None","None",0,0,310,70,100,70,70,100,100,105,106,205,236,362,441,"Escape_to_Battle","0",100,50,50,300,0,"1,8","1,3",1,1310,"none","none","Logging bonus%","If it is in the party, players will be able to deal more damage when harvesting.","10","11","13","16","20"
"Ye Ni Ni (Special)","Gumoss (Special)","PlantSlime_Flower","PAL_NAME_PlantSlime","None","PARTNERSKILL_PlantSlime",1,"PlantSlime","PlantSlime_Flower",0,"XS",10,"Wood","land","Other","None","None",0,0,310,70,100,70,70,100,100,105,106,205,236,362,441,"Escape_to_Battle","0",100,50,50,300,0,"1,8","1,3",1,1310,"none","none","Logging bonus%","If it is in the party, players will be able to deal more damage when harvesting.","10","11","13","16","20"
"Tamamo fox","Vixy","CuteFox","None","None","None",1,"CuteFox","CuteFox",0,"XS",2,"generally","none","FourLegged","None","None",0,0,280,70,70,70,70,140,100,105,106,205,236,362,441,"Escape_to_Battle","0",100,30,60,350,0,"1,7","1,3",1,1000,"none","none","Ranch skills","Assign it to the Palu Ranch and it will have a chance to dig items out of the ground.","0","0","0","0","0"
"Tikar","Hoocrates","WizardOwl","None","None","None",1,"WizardOwl","WizardOwl",0,"XS",1,"dark","none","Bird","None","None",0,1,290,70,70,70,80,100,100,105,106,205,236,362,441,"NotInterested","0",100,26,70,380,0,1,1,1,1050,"none","none","Attack power bonus%","If it is in the team, the elemental Dark Palu's attack power will be increased.","10","11","13","16","20"
"pot elephant","Teafant","Ganesha","None","None","None",1,"Ganesha","Ganesha",0,"M",1,"water","none","FourLegged","None","None",0,0,270,70,70,60,70,100,100,104,105,190,217,325,392,"Escape_to_Battle","0",100,30,60,300,0,"1,6","1,3",1,1000,"none","none","treatment value","When activated, it will spray out mysterious water that is extremely effective on wounds to restore the player's health.","200","220","260","320","400"
"Look at the devil","Depresso","NegativeKoala","None","None","None",1,"NegativeKoala","NegativeKoala",0,"XS",1,"dark","none","Humanoid","None","None",0,1,280,70,70,70,70,100,100,105,106,205,236,362,441,"Warlike","0",100,10,10,300,0,"1,2",1,1,1050,"none","none","Movement speed multiplier","After activation, NegativeKoala will drink a large amount of energy drinks, greatly increasing his movement speed for a certain period of time.","2","3","5","10","10"
"Miruffy","Cremis","WoolFox","None","None","None",1,"WoolFox","WoolFox",0,"XS",1,"generally","none","FourLegged","None","None",0,0,315,70,100,70,75,100,100,105,106,205,236,362,441,"Escape_to_Battle","0",100,20,40,300,0,"1,7","1,3",1,1420,"none","none","Attack power bonus%","If it is in the team, the attack power of the elemental Normal Palu will be increased. Assign it to Palu Ranch and it will have a chance to drop Wool.","10","11","13","16","20"
"sleep demon","Daedream","DreamDemon","None","None","None",1,"DreamDemon","DreamDemon",0,"XS",1,"dark","none","Humanoid","None","None",0,1,305,70,100,75,60,100,100,105,107,212,246,381,465,"Friendly","0",100,70,140,300,0,1,1,1,1330,"none","none","Skill power multiplier","If it is in the party, it will appear next to the player. It will coordinate with the player's offensive to pursue with magic bullets.","1","1.1","1.3","1.6","2"
"Lunati","Nox","NightFox","None","None","None",1,"NightFox","NightFox",0,"XS",6,"dark","none","FourLegged","None","None",0,0,300,75,70,85,70,140,100,106,108,227,265,418,514,"Escape_to_Battle","0",100,30,60,300,0,1,1,1,1480,"none","none","Attack power bonus%","When fighting alongside it, it will grant elemental Dark to the player's attacks.","5","6","7","8","10"
"Escape Rat","Fuddler","CuteMole","None","None","None",1,"CuteMole","CuteMole",0,"XS",1,"land","none","Humanoid","None","None",0,0,295,65,100,80,50,100,100,106,107,220,256,400,490,"Escape_to_Battle","0",100,30,60,300,0,1,1,1,1360,"none","none","distance","When activated, it will emit tiny vibrations to detect the location of nearby ores.","10000","11000","13000","16000","20000"
"squid","Killamari","NegativeOctopus","None","None","None",1,"NegativeOctopus","NegativeOctopus",0,"XS",1,"dark","none","Other","None","None",0,1,290,60,100,60,70,100,100,104,105,190,217,325,392,"NotInterested","0",100,60,120,400,0,1,1,1,1200,"none","none","Paraglider maximum speed (gravity factor)","If it is in the party, it can be summoned in place of the paraglider. It can float in the air for long periods of time while gliding.","500","600","700","800","900"
"Meowster","Mau","Bastet","None","None","None",1,"Bastet","Bastet",0,"XS",1,"dark","none","FourLegged","None","None",0,1,270,70,70,60,70,100,100,104,105,190,217,325,392,"Escape_to_Battle","0",100,52,105,475,0,1,1,1,1000,"none","none","Ranch skills","Assign it to Palu Ranch and it will have a chance to dig Money out of the ground.","0","0","0","0","0"
"ice cream","Mau Cryst","Bastet_Ice","None","None","None",1,"Bastet_Ice","Bastet_Ice",1,"XS",2,"ice","none","FourLegged","None","None",0,0,275,70,70,65,70,100,100,104,106,197,226,343,416,"Escape_to_Battle","0",100,52,105,475,0,1,1,1,1010,"none","none","Ranch skills","Assign it to Palu Ranch and it will have a chance to dig Money out of the ground.","0","0","0","0","0"
"Rumiel","Celaray","FlyingManta","None","None","None",1,"FlyingManta","FlyingManta",0,"M",3,"water","none","Other","None","None",0,0,330,80,100,70,80,100,100,105,106,205,236,362,441,"Escape_to_Battle","0",100,30,150,550,0,"1,2","1,1",1,2860,"none","none","Paraglider maximum speed (gravity factor)","If it is in the party, it can be summoned in place of the paraglider. Can move quickly for long periods of time while gliding.","600","750","900","1050","1200"
"Fried egg bird","Tocotoco","ColorfulBird","None","None","None",1,"ColorfulBird","ColorfulBird",0,"S",1,"generally","none","Bird","None","None",0,0,285,60,80,75,70,70,100,105,107,212,246,381,465,"Warlike","0",100,30,60,300,0,1,1,1,1090,"none","none","Skill power","When activated, it will transform into a launcher equipped on the player and create exploding eggs.","100","110","130","160","200"
"Bona Rabbit","Flopie","FlowerRabbit","None","None","None",1,"FlowerRabbit","FlowerRabbit",0,"XS",1,"Wood","none","Humanoid","None","None",0,0,310,75,100,65,70,100,100,104,106,197,226,343,416,"Escape_to_Battle","0",100,100,100,400,0,1,1,1,1220,"none","none","0","If it is in the party, it will appear next to the player. It will automatically pick up nearby props.","0","0","0","0","0"
"Boba Cow","Mozzarina","CowPal","None","None","None",1,"CowPal","CowPal",0,"S",2,"generally","none","FourLegged","None","None",0,0,320,90,100,50,80,100,100,103,104,175,197,287,343,"Escape_to_Battle","0",100,55,55,580,0,1,1,1,2620,"none","none","Ranch skills","Assign it to Palu Ranch and it will have a chance to produce Milk.","0","0","0","0","0"
"Thorn Fairy","Bristla","LittleBriarRose","None","None","None",1,"LittleBriarRose","LittleBriarRose",0,"S",1,"Wood","none","Humanoid","None","None",0,0,320,80,80,80,80,100,100,106,107,220,256,400,490,"Escape_to_Battle","0",100,50,100,400,0,1,1,1,1140,"none","none","Attack power bonus%","If it is in the team, the elemental Leaf Palu's attack power will be increased.","10","11","13","16","20"
"Sharkboy","Gobfin","SharkKid","None","None","None",1,"SharkKid","SharkKid",0,"S",2,"water","none","Humanoid","None","None",0,0,345,90,90,90,75,100,100,106,108,235,275,437,538,"Warlike","0",100,50,80,400,0,1,1,1,1840,"none","none","Skill power multiplier","After being activated, it will attack the targeted enemy with extremely powerful WaterGun. If it is in the team, it will increase the player's attack power.","1.1","1.3","1.6","2","2.5"
"red shark","Gobfin Ignis","SharkKid_Fire","None","None","None",1,"SharkKid_Fire","SharkKid_Fire",1,"S",3,"fire","none","Humanoid","None","None",0,0,345,90,90,90,75,100,100,106,108,235,275,437,538,"Warlike","0",100,50,80,400,0,1,1,1,1800,"none","none","Skill power multiplier","After being activated, it will attack the targeted enemy with extremely powerful FireSeed. If it is in the team, it will increase the player's attack power.","1.1","1.3","1.6","2","2.5"
"Hanging spirit","Hangyu","WindChimes","None","None","None",1,"WindChimes","WindChimes",0,"XS",1,"land","none","Other","None","None",0,0,290,80,70,70,70,100,100,105,106,205,236,362,441,"Escape_to_Battle","0",100,50,100,400,0,1,1,1,1020,"none","none","Paraglider maximum speed (gravity factor)","If it is in the party, it can be summoned in place of the paraglider. It lifts the player high into the air while gliding.","100","100","100","100","100"
"Icebound Spirit","Hangyu Crystal","WindChimes_Ice","None","None","None",1,"WindChimes_Ice","WindChimes_Ice",1,"XS",2,"ice","none","Other","None","None",0,0,300,80,70,80,70,100,100,106,107,220,256,400,490,"Escape_to_Battle","0",100,50,100,400,0,1,1,1,1020,"none","none","Paraglider maximum speed (gravity factor)","If it is in the party, it can be summoned in place of the paraglider. It lifts the player high into the air while gliding.","100","100","100","100","100"
"Marshmallow","Woolipop","SweetsSheep","None","None","None",1,"SweetsSheep","SweetsSheep",0,"S",3,"generally","none","FourLegged","None","None",0,0,300,70,70,70,90,100,100,105,106,205,236,362,441,"Escape_to_Battle","0",100,50,100,300,0,1,1,1,1450,"none","none","Ranch skills","Assign it to Palu Ranch and it may drop Sweet.","0","0","0","0","0"
"bush sheep","Caprity","BerryGoat","None","None","None",1,"BerryGoat","BerryGoat",0,"S",3,"Wood","none","FourLegged","None","None",0,0,330,100,70,70,90,120,100,105,106,205,236,362,441,"Escape_to_Battle","0",100,70,70,400,0,1,1,1,2510,"none","none","Ranch skills","Assign it to Palu Ranch and it will have a chance to drop Berries from its back.","0","0","0","0","0"
"Ji Xiaotu","Ribunny","PinkRabbit","None","None","None",1,"PinkRabbit","PinkRabbit",0,"XS",1,"generally","none","Humanoid","None","None",0,0,310,75,100,65,70,100,100,104,106,197,226,343,416,"Escape_to_Battle","0",100,50,100,245,0,1,1,1,1160,"none","none","Attack power bonus%","If it is in the team, the attack power of the elemental Normal Palu will be increased. If it is in the stronghold, the efficiency of working in WeaponFactory_Dirty_01 will be improved.","10","11","13","16","20"
"Balrog Sheep","Incineram","Baphomet","None","None","None",1,"Baphomet","Baphomet",0,"M",4,"fire","dark","Humanoid","None","None",0,1,430,95,150,100,85,100,100,107,109,250,295,475,587,"Warlike","0",100,80,160,700,0,1,1,1,4780,"none","none","Skill power multiplier","After activation, it will attack the targeted enemy with the extremely powerful Unique_Baphomet_SwallowKite.","1.1","1.3","1.6","2","2.5"
"Dark Demon Sheep","Incineram Noct","Baphomet_Dark","None","None","None",1,"Baphomet_Dark","Baphomet_Dark",1,"M",5,"dark","none","Humanoid","None","None",0,1,435,95,150,105,85,100,100,107,110,257,304,493,611,"Warlike","0",100,80,160,700,0,1,1,1,4870,"none","none","Skill power multiplier","After activation, it will attack the targeted enemy with the extremely powerful Unique_Baphomet_Dark_SwallowKite.","1.1","1.3","1.6","2","2.5"
"Huan Yue Butterfly","Cinnamoth","CuteButterfly","None","None","None",1,"CuteButterfly","CuteButterfly",0,"M",4,"Wood","none","Bird","None","None",0,0,330,70,100,80,80,100,100,106,107,220,256,400,490,"Escape_to_Battle","0",100,30,150,550,0,1,1,1,5700,"none","none","Skill power multiplier","After activation, it will attack the targeted enemy with PoisonFog.","1.1","1.3","1.6","2","2.5"
"Pa Pa Pa Catfish","Dumud","LazyCatfish","None","None","None",1,"LazyCatfish","LazyCatfish",0,"M",4,"land","none","Fish","None","None",0,0,365,100,100,70,95,100,100,105,106,205,236,362,441,"NotInterested","0",100,100,150,450,0,1,1,1,4690,"none","none","Attack power bonus%","If it is in the team, the elemental Earth Palu's attack power will be increased.","10","11","13","16","20"
"Black Crow Hermit","Cawgnito","DarkCrow","None","None","None",1,"DarkCrow","DarkCrow",0,"M",3,"dark","none","Bird","None","None",0,1,330,75,80,95,80,100,100,107,109,242,285,456,563,"NotInterested","0",100,85,170,920,0,1,1,1,1840,"none","none","Skill power multiplier","After being activated, it will attack the targeted enemy with the extremely powerful Unique_DarkCrow_TelePoke.","1.1","1.3","1.6","2","2.5"
"punk lizard","Leezpunk","LizardMan","None","None","None",1,"LizardMan","LizardMan",0,"S",2,"dark","none","Humanoid","None","None",0,1,300,80,90,80,50,100,100,106,107,220,256,400,490,"Warlike","0",100,100,140,600,0,1,1,1,1720,"none","none","distance","After activation, the sixth sense can be activated to detect the location of nearby dungeons.","10000","11000","13000","16000","20000"
"Hot-blooded lizard","Leezpunk Ignis","LizardMan_Fire","None","None","None",1,"LizardMan_Fire","LizardMan_Fire",1,"S",3,"fire","none","Humanoid","None","None",0,0,300,80,90,80,50,100,100,106,107,220,256,400,490,"Warlike","0",100,100,140,400,0,1,1,1,1640,"none","none","distance","After activation, the sixth sense can be activated to detect the location of nearby dungeons.","10000","11000","13000","16000","20000"
"Moonscythe Demon","Loupmoon","Werewolf","None","None","None",1,"Werewolf","Werewolf",0,"M",3,"dark","none","Humanoid","None","None",0,1,390,80,130,100,80,100,100,107,109,250,295,475,587,"Warlike","0",100,100,150,600,0,1,1,1,2400,"none","none","Skill power multiplier","After activation, it will attack the targeted enemy with extremely powerful Unique_Werewolf_Scratch.","1.1","1.3","1.6","2","2.5"
"Tianqinniao","Galeclaw","Eagle","None","None","None",1,"Eagle","Eagle",0,"M",2,"generally","none","Bird","None","None",0,0,340,75,120,85,60,100,100,106,108,227,265,418,514,"Warlike","0",100,100,200,600,0,1,1,1,2010,"none","none","Paraglider maximum speed (gravity factor)","If it is in the party, it can be summoned in place of the paraglider. While gliding, your right hand will be free, so you can hold a gun and shoot.","1000","1150","1300","1500","1700"
"Feather Archer","Robinquill","RobinHood","None","None","None",1,"RobinHood","RobinHood",0,"M",5,"Wood","none","Humanoid","None","None",0,0,375,90,100,105,80,100,100,107,110,257,304,493,611,"Warlike","0",100,100,100,600,0,1,1,1,2050,"none","none","Weakness bonus %","When fighting alongside it, players will be able to deal more damage to enemy weak points.","20","22","26","32","40"
"mountain shooter","Robinquill Terra","RobinHood_Ground","None","None","None",1,"RobinHood_Ground","RobinHood_Ground",1,"M",6,"Wood","land","Humanoid","None","None",0,0,375,90,100,105,80,100,100,107,110,257,304,493,611,"Warlike","0",100,100,100,600,0,1,1,1,2150,"none","none","Weakness bonus %","When fighting alongside it, players will be able to deal more damage to enemy weak points.","20","22","26","32","40"
"knight bee","Beegarde","SoldierBee","None","None","None",1,"SoldierBee","SoldierBee",0,"M",4,"Wood","none","Humanoid","None","None",0,0,360,80,100,90,90,100,100,106,108,235,275,437,538,"Warlike","0",100,125,250,450,0,1,1,1,1880,"none","none","Queen Bee Attack and Defense Bonus%","Assign it to Palu Ranch and it will have a chance to drop Honey. If it is in the team, QueenBee's attributes will be improved.","12","13","15","19","24"
"queen bee","Elizabee","QueenBee","None","None","None",1,"QueenBee","QueenBee",0,"L",8,"Wood","none","Humanoid","None","None",0,0,395,90,100,105,100,100,100,107,110,257,304,493,611,"Warlike","0",100,150,250,450,0,1,1,1,6830,"none","none","Attack power bonus%","When fighting alongside it, the more SoldierBees there are in the team, the more its attributes will improve.","0","5","6","7","8"
"Mao duster","Swee","MopBaby","None","None","None",1,"MopBaby","MopBaby",0,"XS",1,"ice","none","Other","None","None",0,0,280,60,100,60,60,100,100,104,105,190,217,325,392,"Escape_to_Battle","0",100,55,100,250,0,"1,3","1,1",1,1180,"none","none","Daddy Mao's attack and defense bonus%","If it is in the team, MopKing's attributes will be improved.","12","13","15","19","24"
"blowing snow fox","Foxcicle","IceFox","None","None","None",1,"IceFox","IceFox",0,"S",5,"ice","none","FourLegged","None","None",0,0,390,90,100,95,105,100,100,107,109,242,285,456,563,"Warlike","0",100,65,130,600,0,1,1,1,3730,"none","none","Attack power bonus%","If it is in the team, the attack power of the elemental Ice Palu will be increased.","10","11","13","16","20"
"Thunder Boy","Dazzi","RaijinDaughter","None","None","None",1,"RaijinDaughter","RaijinDaughter",0,"XS",2,"electricity","none","Humanoid","None","None",0,0,330,70,110,80,70,100,100,106,107,220,256,400,490,"Escape_to_Battle","0",100,120,200,400,0,1,1,1,1390,"none","none","Skill power multiplier","If it is in the party, it will appear next to the player. It will cooperate with the player's offensive to pursue with thunder.","1","1.1","1.3","1.6","2"
"Mystia","Lunaris","Mutant","None","None","None",1,"Mutant","Mutant",0,"M",6,"generally","none","Humanoid","None","None",0,0,360,90,80,100,90,100,100,107,109,250,295,475,587,"NotInterested","0",100,80,130,500,0,1,1,1,1760,"none","none","Increased weight bearing","If Mutant is in the team, it can increase the player's upper limit of weight through its anti-gravity.","80","90","100","110","120"
"cat bat monster","Tombat","CatBat","None","None","None",1,"CatBat","CatBat",0,"M",5,"dark","none","Humanoid","None","None",0,1,370,95,100,95,80,100,100,107,109,242,285,456,563,"Warlike","0",100,80,140,400,0,1,1,1,3810,"none","none","distance","Once activated, it can detect the location of nearby pallu using ultrasonic waves.","10000","11000","13000","16000","20000"
"Rong Yan Niang","Flambelle","LavaGirl","None","None","None",1,"LavaGirl","LavaGirl",0,"XS",1,"fire","none","Humanoid","None","None",0,0,310,60,100,70,80,100,100,105,106,205,236,362,441,"Escape_to_Battle","0",100,65,98,250,0,"1,3","1,1",1,2500,"none","none","Ranch skills","Assign it to Palu Ranch and it will have a chance to create FireOrgan.","0","0","0","0","0"
"Wave Blade Samurai","Bushi","Ronin","None","None","None",1,"Ronin","Ronin",0,"M",7,"fire","none","Humanoid","None","None",0,0,385,80,100,125,80,100,100,109,112,287,343,568,709,"Warlike","0",100,80,160,600,0,1,1,1,4520,"none","none","Skill power multiplier","After activation, it will attack the targeted enemy with extremely powerful Unique_Ronin_Iai.","1.1","1.3","1.6","2","2.5"
"dark witch cat","Katress","CatMage","None","None","None",1,"CatMage","CatMage",0,"M",6,"dark","none","Humanoid","None","None",0,1,385,90,100,105,90,100,100,107,110,257,304,493,611,"Warlike","0",100,70,145,440,0,1,1,1,4120,"none","none","Drop increase%_Normal","When fighting side by side with it, if you knock down the elemental Normal's Palu, you can get more dropped items from that Pallu.","40","50","60","70","80"
"Flame Witch Fox","Wixen","FoxMage","None","None","None",1,"FoxMage","FoxMage",0,"M",6,"fire","none","Humanoid","None","None",0,0,330,90,50,110,80,120,100,108,110,265,314,512,636,"Escape_to_Battle","0",100,70,145,440,0,1,1,1,1540,"none","none","Attack power bonus%","When fighting alongside it, it will grant elemental Fire to the player's attacks.","5","6","7","8","10"
"spring rabbit","Verdash","GrassRabbitMan","None","None","None",1,"GrassRabbitMan","GrassRabbitMan",0,"M",8,"Wood","none","Humanoid","None","None",0,0,395,90,100,115,90,100,100,108,111,272,324,531,660,"Warlike","0",100,50,195,500,0,1,1,1,2200,"none","none","Moving speed%","When fighting alongside it, the player's movement speed will be increased, and it will also grant elemental Leaf to the player's attacks.","20","22","26","32","40"
"Verita","Vaelet","VioletFairy","None","None","None",1,"VioletFairy","VioletFairy",0,"M",8,"Wood","none","Humanoid","None","None",0,0,420,100,100,100,120,100,100,107,109,250,295,475,587,"Warlike","0",100,100,150,400,0,1,1,1,1960,"none","none","Drop increased by %_Earth","When fighting alongside it, if you knock down the Pallu of Elemental Earth, you can get more dropped items from that Pallu.","40","50","60","70","80"
"silk moth","Sibelyx","WhiteMoth","None","None","None",1,"WhiteMoth","WhiteMoth",0,"L",7,"ice","none","Humanoid","None","None",0,0,390,110,90,90,100,90,100,106,108,235,275,437,538,"Escape_to_Battle","0",100,50,100,400,0,1,1,1,5900,"none","none","Skill power multiplier","After being activated, it will attack the targeted enemy with extremely powerful IcicleThrow. Assign it to Palu Ranch and it will have a chance to create Cloth2.","1.1","1.3","1.6","2","2.5"
"Shui Linger","Kelpsea","Kelpie","None","None","None",1,"Kelpie","Kelpie",0,"XS",1,"water","none","Dragon","None","None",0,0,310,70,100,70,70,100,100,105,106,205,236,362,441,"NotInterested","0",100,50,100,700,0,1,1,1,1260,"none","none","Attack power bonus%","If it is in the team, the elemental Water Palu's attack power will be increased.","10","11","13","16","20"
"Huo Linger","Kelpsea Ignis","Kelpie_Fire","None","None","None",1,"Kelpie_Fire","Kelpie_Fire",0,"XS",2,"fire","none","Dragon","None","None",0,0,310,70,100,70,70,100,100,105,106,205,236,362,441,"NotInterested","0",100,50,100,700,0,1,1,1,1240,"none","none","Attack power bonus%","If it is in the team, the elemental Fire Palu's attack power will be increased.","10","11","13","16","20"
"Ice Thorn Beast","Cryolinx","WhiteTiger","None","None","None",1,"WhiteTiger","WhiteTiger",0,"L",7,"ice","none","Humanoid","None","None",0,0,450,100,140,100,110,100,100,107,109,250,295,475,587,"Warlike","0",100,100,280,720,0,1,1,1,8440,"none","none","Drop increased by %_Dragon","When fighting alongside it, if you knock down the elemental Dragon's pallu, you can get more dropped items from that pallu.","40","50","60","70","80"
"Hualina","Petallia","FlowerDoll","None","None","None",1,"FlowerDoll","FlowerDoll",0,"M",8,"Wood","none","Humanoid","None","None",0,0,395,100,100,95,100,100,100,107,109,242,285,456,563,"Escape_to_Battle","0",100,100,150,550,0,1,1,1,3590,"none","none","treatment value","When activated, the player's health can be restored through the healing power of the flowers.","400","440","520","640","800"
"Night Mephit","Felbat","CatVampire","None","None","None",1,"CatVampire","CatVampire",0,"M",6,"dark","none","Humanoid","None","None",0,1,415,100,100,105,110,110,100,107,110,257,304,493,611,"Warlike","0",100,60,100,550,0,1,1,1,2100,"none","none","life drain %","When fighting alongside it, it can give the player and CatVampire a life-stealing effect. This effect can absorb part of the damage when it is applied, and restore COMMON_STATUS_HP.","2","3","4","5","6"
"Dark Armored Scorpion","Menasting","DarkScorpion","None","None","None",1,"DarkScorpion","DarkScorpion",0,"L",9,"dark","land","Other","None","None",0,1,430,100,100,100,130,100,100,107,109,250,295,475,587,"Warlike","0",100,100,200,1000,0,1,1,1,7050,"none","none","Drops increased by %_Electricity","When fighting side by side with it, the player's defense will be improved. If you knock down the elemental Electricity's Palu, you can get more dropped items from the Pallu.","40","50","60","70","80"
"black moon queen","Lyleen Noct","LilyQueen_Dark","None","None","None",1,"LilyQueen_Dark","LilyQueen_Dark",1,"L",10,"dark","none","Humanoid","None","None",0,0,435,110,100,110,115,100,100,108,110,265,314,512,636,"NotInterested","0",100,60,100,450,0,1,1,1,7610,"none","none","treatment value","Once activated, the Queen's healing ability can be used to restore a large amount of health to the player.","1000","1100","1300","1600","2000"
